Id,SalePrice
1461,134569.46177588656
1462,193680.48376848875
1463,161177.2766277217
1464,187385.497202969
1465,199719.67730459795
1466,171318.81399018495
1467,178116.94202103902
1468,155865.77528314356
1469,209064.5471586008
1470,104280.33428305233
1471,188143.68134458177
1472,129247.63038804448
1473,97386.71818747665
1474,135706.35013514204
1475,148051.11883154404
1476,344697.5590446549
1477,258745.83256384134
1478,331212.2934138505
1479,276092.340306761
1480,377971.3639364424
1481,295768.4663634648
1482,233357.26296155603
1483,205818.80358391596
1484,164444.90458225994
1485,226865.96158727453
1486,202836.1654330036
1487,305753.02425818087
1488,248993.2026544464
1489,190168.27163415292
1490,167080.8839702657
1491,216240.82402389773
1492,86794.57630472226
1493,211895.05541572277
1494,268637.0434470537
1495,267185.5039944283
1496,182740.8231654452
1497,162150.1488754619
1498,158849.0127682978
1499,155832.4443986805
1500,128606.54775579463
1501,130114.94269266144
1502,154377.24309829797
1503,280628.3258291861
1504,248198.40832182887
1505,206822.20559882012
1506,156278.47785368963
1507,181847.88455500102
1508,205269.74760064634
1509,152900.47985373688
1510,121669.6308214002
1511,122634.6450758547
1512,124955.64019861436
1513,153604.82174716718
1514,137975.52574974697
1515,134039.50180281597
1516,189497.6668472549
1517,181236.59092503542
1518,118380.15236222524
1519,200430.08941078815
1520,114797.5161280866
1521,124153.28075008788
1522,158532.943736956
1523,95467.01991111173
1524,126890.77155928875
1525,124936.8958429684
1526,133565.0719331994
1527,90703.77701113392
1528,165358.2703674315
1529,115515.5611805645
1530,196549.68531031572
1531,87052.42110064143
1532,104580.84064491636
1533,111353.34451842742
1534,135056.964875382
1535,135358.7914877819
1536,110482.4997424727
1537,45430.14263429902
1538,158400.43261438908
1539,206570.62570536986
1540,80085.49415203604
1541,147006.8830216001
1542,109195.15273409752
1543,127071.36558325875
1544,64420.324362483814
1545,131369.42260525955
1546,137827.20007248453
1547,115786.29662143998
1548,144644.0167593102
1549,119668.06546764253
1550,108381.11778460027
1551,128094.20070815037
1552,97733.1486700507
1553,176628.87772278357
1554,119700.8749825996
1555,151841.59333111846
1556,82915.07555659545
1557,82583.13721997263
1558,93475.47286943896
1559,58674.31635279139
1560,110077.07748508146
1561,75292.9626508649
1562,117847.07442399944
1563,123583.47799142112
1564,124225.66703713675
1565,145577.40502080994
1566,320734.63239962346
1567,68372.117308222485
1568,218810.65751209296
1569,104419.12304573327
1570,160810.59978492226
1571,101736.23175755679
1572,132889.0548987561
1573,257692.7294334139
1574,123306.09053484174
1575,212198.95468549573
1576,209146.74125533033
1577,180660.43926215527
1578,160013.66283774737
1579,135267.01779880127
1580,195180.50877948327
1581,168295.73840969612
1582,116008.93296120504
1583,264193.1159132774
1584,219944.89505065198
1585,139907.9928731444
1586,57030.633915449405
1587,120102.19519940615
1588,136673.4635942728
1589,76221.59358130585
1590,142240.23903356414
1591,89462.25362290342
1592,76892.85448362473
1593,139283.5520448537
1594,97756.08119027074
1595,115174.3225265977
1596,194436.96704374236
1597,145913.3339061571
1598,256815.39169626843
1599,209721.39904492119
1600,205533.53042021912
1601,60742.23486943691
1602,135256.39390662356
1603,89239.25362517136
1604,213514.37410647256
1605,250528.9179862979
1606,181640.58304837893
1607,167396.20982301
1608,219180.40863449464
1609,193367.6330840477
1610,135646.96866693397
1611,147446.70758469496
1612,131892.35716749693
1613,157870.4878701354
1614,110035.74695777043
1615,87750.81125244928
1616,79296.3372074598
1617,82033.21426813565
1618,115866.9919415514
1619,161609.7883590511
1620,124207.81281926122
1621,130945.68466476843
1622,139152.62131205053
1623,258538.63661956895
1624,187305.18648881782
1625,158456.33971751458
1626,162072.03597513112
1627,178711.3738091021
1628,270193.96759675595
1629,192526.32974546094
1630,243850.57689333006
1631,229446.60066354886
1632,224947.7027188087
1633,208949.39519498445
1634,152499.0127863541
1635,156849.430198507
1636,148514.4652407038
1637,140633.04997186112
1638,230894.6097635324
1639,180137.04440964147
1640,230630.25140993894
1641,163900.50958980026
1642,185038.0425481804
1643,226907.40349869456
1644,252012.94551636564
1645,135631.8016874383
1646,158561.84580428016
1647,198078.09824503394
1648,116231.47928431799
1649,121933.17496207642
1650,100776.93872877443
1651,108065.27452477794
1652,118268.03556575412
1653,119925.29296011548
1654,131344.56633012375
1655,151458.53782951177
1656,126759.13187700852
1657,131975.69088563987
